category,category_id,device_maker,device_model,device_spec,device_connection,needle_maker,needle_model,needle_gauge,needle_length,needle_connection,compatibility,notes,source,last_verified
注射器,,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2516S,25G,16mm,ルアースリップ,確認済,若干滲漏あり,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2332S,23G,32mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-01T,1mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2516S,25G,16mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,テルモ,テルモ注射針 NN-2325S,23G,25mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,テルモ,テルモ注射針 NN-2132S,21G,32mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-03SZ,3mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2325S,23G,25mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,テルモ,テルモ注射針 NN-2132R,21G,32mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,ロック注射器にスリップ針：固定なし,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-05LZ,5mL,ルアーロック,ニプロ,ニプロ注射針 NP-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,テルモ,テルモ注射針 NN-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,テルモ,テルモ注射針 NN-1838R,18G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-10LZ,10mL,ルアーロック,ニプロ,ニプロ注射針 NP-2138R,21G,38mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-20LZ,20mL,ルアーロック,テルモ,テルモ注射針 NN-1838R,18G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-20LZ,20mL,ルアーロック,テルモ,テルモ注射針 NN-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,テルモ,テルモシリンジ SS-20LZ,20mL,ルアーロック,ニプロ,ニプロ注射針 NP-1838R,18G,38mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 2.5mL ルアースリップ,2.5mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2332S,23G,32mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 2.5mL ルアースリップ,2.5mL,ルアースリップ,テルモ,テルモ注射針 NN-2225S,22G,25mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 2.5mL ルアースリップ,2.5mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,ニプロ,ニプロ注射針 NP-2325R,23G,25mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,ニプロ,ニプロ注射針 NP-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 5mL ルアーロック,5mL,ルアーロック,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,ロック注射器にスリップ針：固定なし,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 10mL ルアーロック,10mL,ルアーロック,ニプロ,ニプロ注射針 NP-2138R,21G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 10mL ルアーロック,10mL,ルアーロック,ニプロ,ニプロ注射針 NP-1838R,18G,38mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,ニプロ,ニプロシリンジ 10mL ルアーロック,10mL,ルアーロック,テルモ,テルモ注射針 NN-2138R,21G,38mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,ケアフィールド,ケアフィールドシリンジ 1mL ルアースリップ,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,ケアフィールド,ケアフィールドシリンジ 1mL ルアースリップ,1mL,ルアースリップ,ニプロ,ニプロ注射針 NP-2516S,25G,16mm,ルアースリップ,確認済,,初期データ,2026-04
注射器,,ケアフィールド,ケアフィールドシリンジ 1mL ルアースリップ,1mL,ルアースリップ,テルモ,テルモ注射針 NN-2516S,25G,16mm,ルアースリップ,規格適合,,初期データ,2026-04
注射器,,ケアフィールド,ケアフィールドシリンジ 3mL ルアーロック,3mL,ルアーロック,テルモ,テルモ注射針 NN-2325R,23G,25mm,ルアーロック,確認済,,初期データ,2026-04
注射器,,ケアフィールド,ケアフィールドシリンジ 3mL ルアーロック,3mL,ルアーロック,ニプロ,ニプロ注射針 NP-2325R,23G,25mm,ルアーロック,規格適合,,初期データ,2026-04
注射器,,ケアフィールド,ケアフィールドシリンジ 3mL ルアーロック,3mL,ルアーロック,テルモ,テルモ注射針 NN-2713S,27G,13mm,ルアースリップ,規格適合,ロック注射器にスリップ針：固定なし,初期データ,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×4mm,34G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×4mm,34G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×3mm,34G,3mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×4mm,34G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×4mm,34G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,テルモ,ナノパス34 34G×3mm,34G,3mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,サンプル,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,マイクロファイン プロ 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,BD公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 29G×12.7mm,29G,12.7mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,厚労省資料2008,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×5mm,32G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×6mm,32G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×4mm,31G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×6mm,31G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×6mm,30G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,フレックスタッチ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 29G×12mm,29G,12mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,マイクロファイン プロ 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,BD公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 29G×12.7mm,29G,12.7mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,厚労省資料2008,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×5mm,32G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×6mm,32G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×4mm,31G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×6mm,31G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
