category,category_id,device_maker,device_model,device_spec,device_connection,needle_maker,needle_model,needle_gauge,needle_length,needle_connection,compatibility,notes,source,last_verified
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×6mm,30G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,サノフィ,ソロスター,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 29G×12mm,29G,12mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,マイクロファイン プロ 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,BD公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 29G×12.7mm,29G,12.7mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,厚労省資料2008,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×5mm,32G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×6mm,32G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×4mm,31G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×6mm,31G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×6mm,30G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,イーライリリー,ミリオペン,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 29G×12mm,29G,12mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,BD,マイクロファイン プロ 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,BD公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 29G×12.7mm,29G,12.7mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,厚労省資料2008,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×5mm,32G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×6mm,32G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×4mm,31G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×6mm,31G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×6mm,30G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン5,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 29G×12mm,29G,12mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,BD,マイクロファイン プロ 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,BD公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 29G×12.7mm,29G,12.7mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,厚労省資料2008,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×5mm,32G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×6mm,32G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×4mm,31G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×6mm,31G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×6mm,30G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,ノボノルディスク,ノボペン エコーPlus,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 29G×12mm,29G,12mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,BD,マイクロファインプラス 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,BD,マイクロファイン プロ 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,BD公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,BD,Micro-Fine Ultra 29G×12.7mm,29G,12.7mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,新薬と治療2020,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,ニプロ,ニプロペンニードル 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,厚労省資料2008,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×4mm,32G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×5mm,32G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 32G×6mm,32G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×4mm,31G,4mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×5mm,31G,5mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×6mm,31G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 31G×8mm,31G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×6mm,30G,6mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 30G×8mm,30G,8mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
ペン型,1,日本イーライリリー,ヒューマペン サビオ,インスリン,JIS T 3226-2 A型,Caremed,メッドファイン 29G×12mm,29G,12mm,JIS T 3226-2 A型,規格適合,JIS T 3226-2 A型準拠ペンニードル共通,EPJ公式PDF,2026-04
プレフィルド,23,アッヴィ,ヒュミラペン,40mg/0.4mL,一体型,,,,固定,一体型,一体型,皮下注射 関節リウマチ・クローン病等,サンプル,2026-04
プレフィルド,19,ファイザー,エンブレルペン,25mg/0.5mL,一体型,,,,固定,一体型,一体型,皮下注射 関節リウマチ等,サンプル,2026-04
プレフィルド,28,UCB,シムジアオートクリックス,200mg/mL,一体型,,,,固定,一体型,一体型,皮下注射 関節リウマチ・クローン病等,サンプル,2026-04
